epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
92,2253.49,1.19643,0.84045,1.11088,0.14507,0.21963,0.09431,0.05864,2.04505,4.15835,1.7813,0.006997,0.006997,0.006997
93,2277.19,1.23513,0.82372,1.05369,0.14507,0.21963,0.09431,0.05864,2.04505,4.15835,1.7813,0.006964,0.006964,0.006964
94,2300.71,1.18498,0.8209,1.07908,0.24947,0.27778,0.13756,0.08032,1.73113,3.31589,1.60919,0.006931,0.006931,0.006931
95,2324.16,1.1719,0.77929,1.09773,0.24947,0.27778,0.13756,0.08032,1.73113,3.31589,1.60919,0.006898,0.006898,0.006898
96,2347.8,1.18711,0.80969,1.09883,0.53794,0.23913,0.13795,0.08107,1.77191,3.3509,1.63893,0.006865,0.006865,0.006865
97,2371.17,1.21316,0.81434,1.08928,0.53794,0.23913,0.13795,0.08107,1.77191,3.3509,1.63893,0.006832,0.006832,0.006832
98,2394.71,1.27795,0.85503,1.06457,0.08808,0.22222,0.08932,0.0566,2.11368,4.03116,1.83118,0.006799,0.006799,0.006799
99,2418.15,1.15232,0.77643,1.03074,0.08808,0.22222,0.08932,0.0566,2.11368,4.03116,1.83118,0.006766,0.006766,0.006766
100,2441.8,1.19224,0.83406,1.07997,0.44944,0.19444,0.08145,0.05614,2.43822,4.45958,2.0273,0.006733,0.006733,0.006733
101,2465.38,1.14257,0.77567,1.03434,0.44944,0.19444,0.08145,0.05614,2.43822,4.45958,2.0273,0.0067,0.0067,0.0067
102,2489.31,1.13446,0.79283,1.0568,0.19974,0.22222,0.15817,0.10815,2.06431,4.24857,1.74323,0.006667,0.006667,0.006667
