epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
92,186.743,0.9889,0.92268,0.94863,0.52132,0.38433,0.47378,0.29533,1.77795,2.128,1.34973,0.000795909,0.000795909,0.000795909
93,188.676,0.92396,0.88121,0.89732,0.52132,0.38433,0.47378,0.29533,1.77795,2.128,1.34973,0.00080086,0.00080086,0.00080086
94,190.675,1.17476,1.05634,0.92379,0.52132,0.38433,0.47378,0.29533,1.77795,2.128,1.34973,0.000805729,0.000805729,0.000805729
95,192.607,0.98071,0.94259,0.92578,0.52132,0.38433,0.47378,0.29533,1.77795,2.128,1.34973,0.000810515,0.000810515,0.000810515
96,194.768,1.12479,0.99942,0.94395,0.49258,0.43333,0.47695,0.30103,1.71257,2.1068,1.27947,0.000815219,0.000815219,0.000815219
97,196.925,0.98425,0.93877,0.92859,0.49258,0.43333,0.47695,0.30103,1.71257,2.1068,1.27947,0.00081984,0.00081984,0.00081984
98,198.877,1.11103,1.03784,0.98544,0.49258,0.43333,0.47695,0.30103,1.71257,2.1068,1.27947,0.000824379,0.000824379,0.000824379
99,200.876,1.25607,1.03189,0.96514,0.49258,0.43333,0.47695,0.30103,1.71257,2.1068,1.27947,0.000828835,0.000828835,0.000828835
100,202.791,0.84763,0.92587,0.8961,0.51228,0.45613,0.50204,0.30777,1.67701,2.03894,1.26112,0.000833209,0.000833209,0.000833209
101,204.82,1.02103,0.9654,0.95837,0.51228,0.45613,0.50204,0.30777,1.67701,2.03894,1.26112,0.0008375,0.0008375,0.0008375
102,206.724,0.87715,0.87462,0.89931,0.51228,0.45613,0.50204,0.30777,1.67701,2.03894,1.26112,0.000833375,0.000833375,0.000833375
103,208.704,1.11098,1.07795,0.98439,0.51228,0.45613,0.50204,0.30777,1.67701,2.03894,1.26112,0.00082925,0.00082925,0.00082925
104,210.79,1.10484,1.01596,0.95804,0.53079,0.47212,0.55099,0.29683,1.72499,2.0073,1.29553,0.000825125,0.000825125,0.000825125
