epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
66,723.711,1.15476,0.97656,0.97448,0.77892,0.51884,0.58197,0.42546,1.23798,2.22592,1.08424,0.00124509,0.00124509,0.00124509
67,734.259,1.1194,0.96136,0.99711,0.77892,0.51884,0.58197,0.42546,1.23798,2.22592,1.08424,0.00124226,0.00124226,0.00124226
68,744.974,1.07715,0.94075,0.98742,0.94862,0.46432,0.59284,0.42553,1.22294,2.17027,1.07484,0.00123943,0.00123943,0.00123943
69,755.864,1.0961,0.91223,0.97098,0.94862,0.46432,0.59284,0.42553,1.22294,2.17027,1.07484,0.0012366,0.0012366,0.0012366
70,766.798,1.06144,0.94007,0.99023,0.85429,0.52497,0.64164,0.44959,1.20108,1.98022,1.06743,0.00123377,0.00123377,0.00123377
71,777.546,1.08192,0.92764,0.98394,0.85429,0.52497,0.64164,0.44959,1.20108,1.98022,1.06743,0.00123094,0.00123094,0.00123094
72,788.142,1.1164,0.97023,0.98284,0.87344,0.56995,0.62405,0.42816,1.30009,1.94138,1.11691,0.00122811,0.00122811,0.00122811
73,798.941,1.08088,0.93194,0.98587,0.87344,0.56995,0.62405,0.42816,1.30009,1.94138,1.11691,0.00122528,0.00122528,0.00122528
74,809.611,1.0465,0.94985,0.95376,0.86819,0.55962,0.58739,0.42121,1.28341,1.97829,1.13995,0.00122245,0.00122245,0.00122245
75,820.515,1.09011,0.92579,0.97144,0.86819,0.55962,0.58739,0.42121,1.28341,1.97829,1.13995,0.00121962,0.00121962,0.00121962
76,831.342,1.03881,0.88911,0.9797,0.85863,0.52215,0.58735,0.41603,1.2255,2.02761,1.14097,0.00121679,0.00121679,0.00121679
77,842.053,1.03122,0.88872,0.94513,0.85863,0.52215,0.58735,0.41603,1.2255,2.02761,1.14097,0.00121396,0.00121396,0.00121396
78,852.863,1.05871,0.90697,0.98047,0.88066,0.48722,0.53493,0.37762,1.2938,2.09217,1.14952,0.00121113,0.00121113,0.00121113
79,863.634,1.06576,0.92837,0.97037,0.88066,0.48722,0.53493,0.37762,1.2938,2.09217,1.14952,0.00120831,0.00120831,0.00120831
80,874.273,1.01602,0.8526,0.95258,0.78769,0.5,0.51989,0.37715,1.23323,2.08106,1.12665,0.00120548,0.00120548,0.00120548
81,884.911,1.05664,0.89017,0.95298,0.78769,0.5,0.51989,0.37715,1.23323,2.08106,1.12665,0.00120265,0.00120265,0.00120265
82,895.628,1.00676,0.8586,0.9511,0.78468,0.49159,0.51416,0.38519,1.22796,2.01684,1.14838,0.00119982,0.00119982,0.00119982
83,906.196,1.002,0.85504,0.95604,0.78468,0.49159,0.51416,0.38519,1.22796,2.01684,1.14838,0.00119699,0.00119699,0.00119699
84,917.044,1.03051,0.88286,0.96606,0.86326,0.5,0.52467,0.38149,1.32748,2.01569,1.19146,0.00119416,0.00119416,0.00119416
85,927.692,1.00825,0.86248,0.96016,0.86326,0.5,0.52467,0.38149,1.32748,2.01569,1.19146,0.00119133,0.00119133,0.00119133
86,938.502,1.07442,0.87095,0.96193,0.91556,0.5157,0.52909,0.3687,1.40879,2.02833,1.23462,0.0011885,0.0011885,0.0011885
87,949.133,0.99386,0.84926,0.94921,0.91556,0.5157,0.52909,0.3687,1.40879,2.02833,1.23462,0.00118567,0.00118567,0.00118567
88,960.074,1.00514,0.85458,0.9438,0.89672,0.50833,0.52869,0.36312,1.41262,2.05257,1.23508,0.00118284,0.00118284,0.00118284
89,970.931,1.04619,0.89104,0.95695,0.89672,0.50833,0.52869,0.36312,1.41262,2.05257,1.23508,0.00118001,0.00118001,0.00118001
90,981.565,0.99712,0.81951,0.96176,0.95313,0.47291,0.52944,0.38049,1.41735,2.13144,1.25593,0.00117718,0.00117718,0.00117718
91,992.109,1.02731,0.84789,0.9656,0.95313,0.47291,0.52944,0.38049,1.41735,2.13144,1.25593,0.00117435,0.00117435,0.00117435
92,1002.84,1.04378,0.81873,0.91957,0.92922,0.45132,0.53268,0.34972,1.51404,2.12605,1.28716,0.00117152,0.00117152,0.00117152
93,1013.36,1.05409,0.88943,0.98298,0.92922,0.45132,0.53268,0.34972,1.51404,2.12605,1.28716,0.00116869,0.00116869,0.00116869
94,1024.21,1.11118,0.87741,0.97096,0.83398,0.49754,0.53204,0.37556,1.48848,2.01001,1.28001,0.00116586,0.00116586,0.00116586
95,1034.97,1.00276,0.83635,0.93477,0.83398,0.49754,0.53204,0.37556,1.48848,2.01001,1.28001,0.00116303,0.00116303,0.00116303
96,1045.98,1.0164,0.84211,0.95233,0.91499,0.52311,0.53734,0.38607,1.34203,1.80576,1.2162,0.00116021,0.00116021,0.00116021
97,1056.92,0.96689,0.80724,0.95935,0.91499,0.52311,0.53734,0.38607,1.34203,1.80576,1.2162,0.00115738,0.00115738,0.00115738
98,1067.82,0.99835,0.82638,0.95319,0.96674,0.51048,0.5412,0.38869,1.31339,1.73486,1.21246,0.00115455,0.00115455,0.00115455
99,1078.26,0.98408,0.85432,0.94365,0.96674,0.51048,0.5412,0.38869,1.31339,1.73486,1.21246,0.00115172,0.00115172,0.00115172
100,1089.12,0.97,0.76662,0.92256,0.88639,0.52778,0.5405,0.3829,1.37106,1.79846,1.25075,0.00114889,0.00114889,0.00114889
101,1099.64,0.97103,0.80306,0.93833,0.88639,0.52778,0.5405,0.3829,1.37106,1.79846,1.25075,0.00114606,0.00114606,0.00114606
102,1112.05,1.02455,0.85496,0.97876,0.89451,0.52562,0.54023,0.38002,1.35501,1.79047,1.24496,0.00114323,0.00114323,0.00114323
103,1122.92,0.96945,0.79286,0.93955,0.89451,0.52562,0.54023,0.38002,1.35501,1.79047,1.24496,0.0011404,0.0011404,0.0011404
104,1133.59,0.97417,0.84231,0.94845,0.94252,0.52259,0.54329,0.36475,1.36583,1.80971,1.22756,0.00113757,0.00113757,0.00113757
105,1144.18,1.01957,0.84251,0.97205,0.94252,0.52259,0.54329,0.36475,1.36583,1.80971,1.22756,0.00113474,0.00113474,0.00113474
106,1154.95,0.95631,0.81699,0.94731,0.984,0.52778,0.54449,0.38042,1.29551,1.84449,1.19532,0.00113191,0.00113191,0.00113191
107,1165.71,1.03188,0.82523,0.94145,0.984,0.52778,0.54449,0.38042,1.29551,1.84449,1.19532,0.00112908,0.00112908,0.00112908
108,1176.4,1.01966,0.799,0.948,0.95013,0.52298,0.54379,0.41223,1.2518,1.8816,1.1966,0.00112625,0.00112625,0.00112625
109,1187.08,0.99519,0.8426,0.95468,0.95013,0.52298,0.54379,0.41223,1.2518,1.8816,1.1966,0.00112342,0.00112342,0.00112342
110,1197.63,0.97696,0.82058,0.95716,0.96331,0.50456,0.54104,0.41056,1.30473,1.86935,1.21428,0.00112059,0.00112059,0.00112059
111,1208.34,0.98449,0.80446,0.92645,0.96331,0.50456,0.54104,0.41056,1.30473,1.86935,1.21428,0.00111776,0.00111776,0.00111776
112,1219.22,0.96521,0.78869,0.9421,0.9728,0.49936,0.53297,0.39039,1.34248,1.77598,1.18865,0.00111493,0.00111493,0.00111493
113,1229.94,0.98862,0.82786,0.94663,0.9728,0.49936,0.53297,0.39039,1.34248,1.77598,1.18865,0.0011121,0.0011121,0.0011121
